Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,249411,252954
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,104256,127162
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,157736,169349
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),394218,394218
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,60700,64785
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),69139,75473
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,66391,67443
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),78452,78452
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,66379,68260
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),82162,90539
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,264039,271067
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,75250,75555
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,93331,93331
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,164489,164489
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,46306,47266
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),50442,55783
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,47936,49057
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),66293,66293
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,51829,53220
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,156126,158637
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,86569,90022
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,106362,106362
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),102583,102583
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,185210,185210
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,49559,51413
