Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13926,15255
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),23716,25009
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,448,448
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2282,2313
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4360,4360
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4813,5575
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),9489,10013
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,319,319
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2222,3225
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3783,3783
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1144,1207
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1893,1893
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,19565,26046
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),26051,26051
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5746,5746
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),6104,6104
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,22109,24664
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),27115,27115
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4559,4594
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,15807,17582
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),26724,26724
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,961,961
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2960,2960
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5831,5986
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),11518,11518
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,632,632
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3290,3575
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),5427,5427
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1446,1446
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,52141,67697
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),48952,60407
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,1499,1499
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,15226,17087
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),22125,22125
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,55253,83736
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),65306,66884
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,10568,13382
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),11795,11795
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,36660,48352
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),56237,57126
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,7894,8345
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),9811,9811
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,14580,14920
